Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
United Kingdom,2003,78.44634146341464,34442.68754023079,59647577.0,100.598129272461,64.82,2789.35131836,,3.152346518822654
Djibouti,2008,59.815,1119.152333469688,892734.0,,2.26,55.90976715,,
Fragile and conflict affected situations,2020,62.06636828540312,1685.097950888579,994901090.0,95.4652328491211,30.7,74.50165528640903,67.1063995361328,-5.023115941366953
Ethiopia,2012,61.443,452.1010318857536,95798767.0,89.9253221073517,2.9,20.00217628,,8.647811633373692
Malta,2000,78.34878048780489,10348.486016300049,390087.0,106.36759185791,13.1137,647.10150146,,19.68126925715437
Cuba,2004,77.326,3399.219628934021,11238756.0,103.290786743164,8.40798,232.22746277,,5.7705380702155935
Qatar,2001,75.486,25870.799186431443,677925.0,94.3836669921875,6.17027,598.73602295,,3.898186662339071
Jamaica,2016,72.052,5009.794487242953,2809915.0,93.1394980981879,44.3669,285.60949707,,1.3752230644553831
Lesotho,2007,43.66,861.1884208995633,1953268.0,124.028053283691,3.44543,65.80387878,,4.187914099571515
Central African Republic,2017,45.231,432.3240256842626,4793511.0,,4.0,28.81619644,,4.52727821346231
"Macao SAR, China",2018,83.67804878048783,83761.8171798142,658900.0,101.238255033557,83.7941,,,6.405279157046451
Hungary,2014,75.76341463414634,14352.501883173978,9833038.0,101.314437866211,75.6532,1006.15649414,,4.334353641139671
Africa Western and Central,2007,53.48243140534494,1407.6420578699422,334984176.0,84.3852386474609,4.3,52.62529131946517,50.3038215637207,5.5023286899064345
Chile,1997,75.826,5741.958429895956,14932434.0,,1.06,,,7.391739268433099
Sub-Saharan Africa (IDA & IBRD countries),2013,58.717960431097715,1860.1551208634392,971232906.0,96.5599136352539,11.1,92.66808773984047,63.1196517944336,5.098033852225498
Portugal,1993,74.51219512195122,9534.656363730795,9964675.0,,0.4499999999999999,,,-2.043276634498909
Madagascar,1997,56.127,284.3718439672442,14990814.0,,0.0143,,,3.6934926169178937
Singapore,2011,81.7439024390244,53891.45702643717,5183688.0,,71.0,1700.1685791,96.1900024414062,6.214934168589892
Bangladesh,2007,66.458,537.9554927929107,147989278.0,93.662353515625,1.8,14.03898716,,7.058599354498483
Cameroon,2002,53.922,789.6238110725543,15725528.0,104.316276550293,0.360872,31.79577446,,4.4770268336915535
Kazakhstan,2004,65.04,2722.474077554025,15850159.0,101.440238952637,2.65039,108.43821716,,9.600000001368542
United Arab Emirates,1997,72.559,27982.795704056392,2817410.0,,3.3000000000000003,,,8.190398649168799
Sudan,2013,63.443,1138.62780761719,37785849.0,66.95703125,,97.4927597,,1.9551446330242184
Panama,2017,77.901,15694.629745429473,4098707.0,94.7657015347774,59.9506,1126.96154785,,5.744059463557804
IBRD only,2015,73.03301914207316,5572.514111285806,4676922961.0,105.501106262207,39.1,296.76122033320536,88.6911697387695,4.385941657116902
Latin America & the Caribbean (IDA & IBRD countries),1992,67.90127592191068,2789.463471816212,442150885.0,,,,84.9483489990234,2.8162702397330577
Moldova,2010,69.876,2436.7993510242086,2862354.0,93.5407792138963,29.68,198.28894043,,7.100000107058364
Jordan,2017,76.071,4065.6162874938423,10234226.0,98.5589481924953,64.5,289.04656982,,2.473598154490446
Cyprus,2019,81.454,29703.052734375,1286671.0,100.477699279785,86.0636,2093.0612793,,5.875595833866072
North Macedonia,1992,71.14846341463416,1198.928298462569,2032523.0,,,,,-6.565198676858543
Algeria,1998,69.327,1603.366232008358,30054133.0,103.693977355957,0.0202,,,5.10000361107312
"Iran, Islamic Rep.",1991,66.233,2194.439068028407,59986931.0,104.325881958008,,,65.5299987792969,12.716148443070267
East Asia & Pacific,2007,73.89485135043324,5716.348972396796,2167046538.0,105.071189880371,20.8,323.5078836255778,93.5117034912109,7.485763495701647
Georgia,2014,73.105,4830.334861702489,3719414.0,109.976680992118,49.1025,367.32040405,99.5899963378906,4.090490595817428
Africa Eastern and Southern,2019,63.85726128370424,1493.8179382999217,675950189.0,103.610618591309,22.4,87.29824613913138,72.8010787963867,2.2003404329238805
French Polynesia,2002,79.544,16004.058329211186,247775.0,,8.20022,,,0.8461814828085892
France,2000,79.05609756097562,22340.593951621708,60918661.0,100.428260803223,14.3079,2161.85302734,,4.140999964029149
Bermuda,1994,75.276,31543.063486164137,59194.0,,,,,0.5996133666988044
Gabon,2002,62.175,3966.4800186466255,1345135.0,135.686462402344,1.93953,131.85105896,,-0.2490331685434341
Georgia,1999,70.012,673.5377828872752,4157192.0,99.6366806030273,0.416,,,2.8672956745496805
Faroe Islands,2000,78.3829268292683,23322.75933575153,45754.0,,32.9164,,,
Europe & Central Asia (excluding high income),2005,69.95951476469735,3567.7847379434957,223360135.0,102.54532623291,8.9,193.19116096160693,95.839111328125,8.467657729660914
Italy,2014,83.09024390243904,36028.34940223488,60320707.0,100.752258300781,55.6385,3154.27587891,,-0.0013876173045446
Argentina,1995,72.864,7357.616277378798,35070020.0,,0.0863,,,-2.845209610570791
Senegal,1995,57.336,714.994396357297,8848101.0,54.1760482788086,0.0006929999999999,,,5.46858485819628
Iraq,2020,69.651,4295.189451212281,42116605.0,,53.6778,248.04725647,,-12.03679309311518
Sudan,2014,63.99,1275.43835449219,38823318.0,67.05712890625,,88.78570557,,4.661379542298732
Hungary,2007,73.15121951219513,13934.605460374964,10055780.0,101.520332336426,53.3,1003.25805664,,0.3323543378789253
Faroe Islands,1999,78.18048780487806,24978.6210817538,45146.0,,22.3,,,
Uzbekistan,1991,65.529,658.3135505280682,20962910.0,,,,,-0.4920000051630779
Nepal,2002,63.507,238.89140296106,25328981.0,110.702140808105,0.312956,10.46419716,,0.1201431773694139
"Iran, Islamic Rep.",1990,64.066,2137.9422273987793,58380092.0,102.681770324707,0.0,,,13.59492644358386
Caribbean small states,1990,67.04515051400169,3713.804539331261,3654949.0,102.465278625488,,,,-0.2722307765164515
United States,2013,78.74146341463415,53297.38629015953,316726282.0,99.455436706543,71.4,8411.42871094,,2.117830097864683
East Asia & Pacific (excluding high income),1992,68.00061078899199,493.0608836941902,1648872786.0,112.188751220703,,,81.8215103149414,11.251144904855394
Sao Tome and Principe,2009,63.669,1128.2804621330542,177853.0,122.308692932129,16.41,64.90551758,,3.302399666450611
Monaco,2013,85.056,184940.66380471824,35447.0,,90.7,8455.65527344,,9.577098323548157
